timestamp_us,ax,ay,az,qw,qx,qy,qz,vx,vy,px,py
1776792.7390038674,0.73,3.03,11.03,0.0,0.73,3.03,11.03,0.06411974990507585,0.06053016921738183,0.00318578511844128,0.006760992609003966
1776792.7392240507,1.19,-2.84,8.08,0.0,1.19,-2.84,8.08,0.06438176801195365,0.059904848693404546,0.0031999609074933287,0.0067741826552623246
1776792.7394184829,0.5,-0.15,8.01,0.0,0.5,-0.15,8.01,0.06447898411890489,0.059875683861319175,0.00321249769912575,0.0067858244170344055
1776792.739583468,1.95,1.34,12.34,0.0,1.95,1.34,12.34,0.06480070524150502,0.06009676401736235,0.0032231888558619435,0.006795739493128919
1776792.739828662,-0.65,-1.27,7.01,0.0,-0.65,-1.27,7.01,0.0646413291734643,0.05978536769980585,0.00323903851874901,0.0068103985036371715
1776792.739964269,1.42,-1.91,9.42,0.0,1.42,-1.91,9.42,0.06483389123575758,0.059526358165312765,0.003247830453821444,0.0068184706996154264
1776792.7399646544,1.84,-1.61,9.16,0.0,1.84,-1.61,9.16,0.06483460025163364,0.059525737776421214,0.00324785543684367,0.006818493636948642
1776792.7401138144,-0.73,0.38,11.41,0.0,-0.73,0.38,11.41,0.06472571350634095,0.05958241854794344,0.003257509919419633,0.006827380946034057
1776792.7403091777,0.5,0.65,6.36,0.0,0.5,0.65,6.36,0.06482339515816417,0.05970940469531363,0.0032701740320513106,0.006839045972594096
1776792.7404635977,-0.42,-0.65,9.46,0.0,-0.42,-0.65,9.46,0.064758538743481,0.059609031672589685,0.003280174047868032,0.006848250801348903
1776792.740463909,0.57,-0.23,13.33,0.0,0.57,-0.23,13.33,0.06475871618138622,0.05960896007483846,0.003280194206904776,0.006848269357294531
1776792.7405031743,-0.61,0.04,8.08,0.0,-0.61,0.04,8.08,0.0647347643738612,0.059610530685167966,0.0032827360341448736,0.006850609980175572
1776792.7405040232,1.0,1.3,5.94,0.0,1.0,1.3,5.94,0.06473561327438797,0.05961163425585276,0.0032827909882410826,0.006850660584523293
1776792.7405046267,-1.53,-1.38,11.41,0.0,-1.53,-1.38,11.41,0.0647346899239346,0.05961080142995363,0.0032828300554340827,0.006850696559464814
1776792.740504876,2.53,3.1,16.13,0.0,2.53,3.1,16.13,0.06473532080883156,0.05961157445097363,0.0032828461979385088,0.006850711424303551
1776792.7405050863,1.27,-1.99,3.18,0.0,1.27,-1.99,3.18,0.064735587821342,0.0596111560612919,0.003282859808341516,0.006850723957314914
1776792.7405052853,0.69,2.26,8.23,0.0,0.69,2.26,8.23,0.06473572517978023,0.059611605959944636,0.0032828726952952958,0.006850735824209255
1776792.74050551,-1.49,0.19,11.38,0.0,-1.49,0.19,11.38,0.06473539040423924,0.05961164864944315,0.0032828872401445192,0.006850749217848131
1776792.7405057272,2.68,0.54,15.94,0.0,2.68,0.54,15.94,0.06473597258329386,0.05961176595417803,0.0032829013028039663,0.006850762167371096
1776792.740505954,0.61,-2.37,0.88,0.0,0.61,-2.37,0.88,0.06473611091729248,0.059611228492576836,0.003282915983468029,0.0068507756858294565
1776792.7405061612,1.99,1.95,9.04,0.0,1.99,1.95,9.04,0.06473652328364546,0.0596116325701589,0.003282929398123311,0.006850788038508611
1776792.740506375,0.0,1.68,11.45,0.0,0.0,1.68,11.45,0.06473652328364546,0.05961199165089077,0.003282943234812692,0.0068508007798881295
1776792.7405789448,1.76,2.68,13.95,0.0,1.76,2.68,13.95,0.06486424616537984,0.05980647876625902,0.003287650421427334,0.006855140925237227
1776792.7407791065,0.61,-2.03,7.89,0.0,0.61,-2.03,7.89,0.06498634480871256,0.05940015049418456,0.0033006581993556884,0.006867030560957062
1776792.7409750593,0.0,1.07,3.95,0.0,0.0,1.07,3.95,0.06498634480871256,0.05960982002317927,0.0033133924575866514,0.006878711273936238
1776792.7412236452,0.04,-3.33,14.44,0.0,0.04,-3.33,14.44,0.06499628824181851,0.058782029217109316,0.0033295496136933334,0.00689332365332004
1776792.741365382,-0.11,1.95,9.27,0.0,-0.11,1.95,9.27,0.06498069719178598,0.05905841601314047,0.003338759770975748,0.006901694405310064
1776792.7414656982,-0.3,-0.34,11.41,0.0,-0.3,-0.34,11.41,0.06495060231769453,0.05902430848917017,0.0033452753716387965,0.006907615502417785
1776792.7416432935,0.54,2.26,4.64,0.0,0.54,2.26,4.64,0.06504650377901267,0.059425673864316436,0.0033568273249092464,0.006918169222720383
1776792.7418985425,3.33,-4.52,10.54,0.0,3.33,-4.52,10.54,0.06589648286579172,0.058271948497277,0.0033736473346174197,0.006933043077846074
1776792.7421539053,-1.76,3.37,10.8,0.0,-1.76,3.37,10.8,0.0654470442864112,0.059132521231659,0.003390360077008748,0.006948143325765134
1776792.74230365,0.04,-1.76,12.72,0.0,0.04,-1.76,12.72,0.06545303406892339,0.05886897080112274,0.00340016131297964,0.006956958634060511
1776792.7424846827,-1.65,1.53,6.13,0.0,-1.65,1.53,6.13,0.06515432993182907,0.059145951000973834,0.0034119563844343345,0.006967665991791643
1776792.7426191035,2.26,-0.23,10.38,0.0,2.26,-0.23,10.38,0.0654581209714524,0.05911503421375553,0.0034207553183377443,0.006975612282809858
1776792.7427982849,-0.69,4.56,15.32,0.0,-0.69,4.56,15.32,0.06533448584610592,0.05993210112908886,0.0034324620391305433,0.006986350997064021
1776792.743073383,0.57,-0.15,9.39,0.0,0.57,-0.15,9.39,0.06549129185033957,0.059890836391132636,0.003450478579108003,0.0070028268615284165
1776792.743313809,1.0,-0.11,8.62,0.0,1.0,-0.11,8.62,0.06573171766242007,0.05986438955180378,0.003466282180706437,0.007017219806001112
1776792.743533425,2.57,-5.36,10.5,0.0,2.57,-5.36,10.5,0.06629613105906171,0.058687247214839165,0.003480841878961395,0.007030108470802697
1776792.743773962,1.34,1.76,10.84,0.0,1.34,1.76,10.84,0.06661845046794039,0.0591105921100828,0.003496866072674261,0.007044326747748512
1776792.7439709497,1.57,0.54,9.58,0.0,1.57,0.54,9.58,0.06692772125592453,0.0592169655021283,0.0035100500147703132,0.00705599176531722
1776792.744161818,-1.04,2.3,12.95,0.0,-1.04,2.3,12.95,0.06672921824967486,0.05965596253518043,0.0035227865055657464,0.007067378195994096
1776792.744370929,1.27,-5.52,9.69,0.0,1.27,-5.52,9.69,0.06699478924740103,0.05850166969466982,0.003536795854402665,0.007079611539922805
1776792.7445986278,-1.07,3.37,18.66,0.0,-1.07,3.37,18.66,0.06675115150632335,0.05926901472965276,0.003551995013063726,0.007093107024843022
1776792.744825075,2.22,-1.49,7.24,0.0,2.22,-1.49,7.24,0.06725386412581427,0.05893160851206651,0.0035672244573004713,0.007106451918215056
1776792.7448254419,-4.21,2.49,12.98,0.0,-4.21,2.49,12.98,0.06725231930380686,0.058932522195391565,0.0035672491349401174,0.007106473542979246
1776792.7449283735,-0.8,-3.68,9.08,0.0,-0.8,-3.68,9.08,0.06716997399693354,0.058553733783774285,0.0035741630500919306,0.007112500574450501
1776792.7451008197,1.11,2.57,14.86,0.0,1.11,2.57,14.86,0.06736138933338225,0.05899692064384018,0.0035857792690134633,0.007122674372121202
1776792.7452184395,2.37,1.61,10.96,0.0,2.37,1.61,10.96,0.06764014815213158,0.05918628844898213,0.003593735086650138,0.00712963584885293
1776792.7453953836,-4.48,2.11,10.84,0.0,-4.48,2.11,10.84,0.06684743871213869,0.059559640439693085,0.0036055633446203297,0.007140174574125057
1776792.745515386,-2.41,-5.67,8.31,0.0,-2.41,-5.67,8.31,0.06655823258217426,0.05887922601774355,0.00361355050182463,0.00714724023100966
1776792.7455734052,0.19,1.27,15.17,0.0,0.19,1.27,15.17,0.06656925620511177,0.05895291023422053,0.0036174127880332354,0.007150660623922767
1776792.7457838396,-0.04,2.53,10.8,0.0,-0.04,2.53,10.8,0.06656083882786336,0.05948530934518223,0.003631419480292848,0.007163178381160181
1776792.7458724931,1.61,1.07,14.06,0.0,1.61,1.07,14.06,0.06670357100665572,0.05958016861928647,0.0036373329871394384,0.007168460373259465
1776792.7459229454,1.07,-0.96,5.52,0.0,1.07,-0.96,5.52,0.06675755497301,0.05953173440648263,0.003640701059664258,0.007171463886481158
1776792.7459962193,0.88,-0.27,12.14,0.0,0.88,-0.27,12.14,0.06682203600415963,0.05951195045374354,0.0036455973707836507,0.007175824559130002
1776792.746109158,0.3,2.84,10.07,0.0,0.3,2.84,10.07,0.0668559176125564,0.05983269634656627,0.003653147990848835,0.007182581985753125
1776792.7462138766,1.53,0.8,10.34,0.0,1.53,0.8,10.34,0.06701613708399239,0.05991647123359163,0.0036601658274901944,0.007188856355263815
1776792.7463833622,0.23,-1.15,6.24,0.0,0.23,-1.15,6.24,0.06705511876614767,0.059721562822815225,0.0036715307028233534,0.007198978298654144
1776792.7465075266,-0.73,-2.03,12.57,0.0,-0.73,-2.03,12.57,0.06696447876049208,0.05946950910845792,0.003679845306567976,0.007206362294054042
1776792.7465132833,0.88,-0.8,7.12,0.0,0.88,-0.8,7.12,0.0669695446896367,0.059464903718326446,0.0036802308326682547,0.0072067046179049845
1776792.7465135518,0.34,2.41,12.38,0.0,0.34,2.41,12.38,0.06696963596390562,0.059465550691820884,0.0036802488109169687,0.007206720581654001
1776792.7465137704,1.07,-3.22,12.83,0.0,1.07,-3.22,12.83,0.06696986989583822,0.05946484670974334,0.0036802634524039693,0.007206733582332985
1776792.7465139744,-1.04,2.45,8.66,0.0,-1.04,2.45,8.66,0.06696965777780862,0.05946534641087075,0.003680277111511518,0.00720674571086386
1776792.746514168,1.34,0.42,7.36,0.0,1.34,0.42,7.36,0.06696991735603662,0.05946542777121087,0.0036802900845954553,0.00720675723021488
1776792.7465143593,0.77,0.54,6.7,0.0,0.77,0.54,6.7,0.06697006454458462,0.059465530994348426,0.00368030288618839,0.007206768597286521
1776792.7465239125,1.19,-1.34,19.46,0.0,1.19,-1.34,19.46,0.06698143294081094,0.05945272960700115,0.0036809427781795477,0.007207336565510814
1776792.746524406,2.26,-1.15,5.05,0.0,2.26,-1.15,5.05,0.06698254795279356,0.05945216223364716,0.003680975825234235,0.007207365897313152
1776792.7465247605,-0.46,-0.77,13.06,0.0,-0.46,-0.77,13.06,0.06698238483630123,0.05945188919082304,0.003680999577259588,0.007207386979016689
1776792.7465838108,0.46,0.96,7.62,0.0,0.46,0.96,7.62,0.06700954796280714,0.05950857745483538,0.0036849565094952785,0.007210900976881021
1776792.7467904116,1.11,-1.04,17.01,0.0,1.11,-1.04,17.01,0.06723887493368243,0.05929371254518647,0.0036988481198678928,0.007223151109754837
1776792.7468783539,1.46,1.57,2.68,0.0,1.46,1.57,2.68,0.06736727058887486,0.05943178184563313,0.0037047725478444576,0.007228377673158483
1776792.7469649569,0.73,-1.49,9.0,0.0,0.73,-1.49,9.0,0.0674304907699116,0.059302743393928,0.0037106122298086633,0.007233513467916483
1776792.7471389633,-0.34,-0.77,6.86,0.0,-0.34,-0.77,6.86,0.06737132857786496,0.059168758429587076,0.0037223352753373725,0.007243809213355814
1776792.747283508,2.26,-1.07,9.73,0.0,2.26,-1.07,9.73,0.0676979997265153,0.059014095540624305,0.003732120666192236,0.007252339391398654
1776792.7474486893,0.19,-2.07,2.26,0.0,0.19,-2.07,2.26,0.0677293841610663,0.058672170385252874,0.00374330828947846,0.007262030932932449
1776792.747623651,2.11,-0.38,15.94,0.0,2.11,-0.38,15.94,0.06809855345636609,0.05860568491974864,0.003755222931654016,0.007272284686203722
1776792.7477636442,1.84,-2.76,6.13,0.0,1.84,-2.76,6.13,0.06835614085197451,0.058219303826336014,0.0037647923231191806,0.007280434989924788
1776792.7477940298,-0.73,2.11,11.8,0.0,-0.73,2.11,11.8,0.06833395939087498,0.05828341736458261,0.0037668686889575447,0.0072822059643837195
1776792.7478168397,1.19,-0.46,10.46,0.0,1.19,-0.46,10.46,0.06836110323434699,0.05827292478643377,0.003768428002474996,0.007283535167029988
1776792.747817179,0.69,0.38,13.06,0.0,0.69,0.38,13.06,0.06836133730597797,0.058273053695447934,0.0037684511929818357,0.007283554935245525
1776792.7478177587,3.1,-2.72,6.74,0.0,3.1,-2.72,6.74,0.06836313452571634,0.05827147678006459,0.003768490826393044,0.007283588718035285
1776792.7478183266,0.92,1.23,10.38,0.0,0.92,1.23,10.38,0.06836365696974102,0.058272175265010634,0.0037685296483322716,0.007283621809285037
1776792.7478243343,1.72,1.95,7.51,0.0,1.72,1.95,7.51,0.06837399026378993,0.058283890336752124,0.0037689404207431397,0.0072839719631089695
1776792.7478259834,1.3,-1.11,8.58,0.0,1.3,-1.11,8.58,0.06837613414507362,0.058282059791963735,0.0037690531825233286,0.007284068078352942
1776792.747826238,2.64,-2.03,11.57,0.0,2.64,-2.03,11.57,0.0683768059825525,0.058281543189659904,0.003769070583319141,0.007284082910066972
1776792.7478265532,2.18,-2.57,3.48,0.0,2.18,-2.57,3.48,0.06837749323341999,0.05828073299024273,0.003769092139507921,0.00728410128322491
1776792.7478920831,1.88,1.19,8.96,0.0,1.88,1.19,8.96,0.06850068954285238,0.05835871363291536,0.003773580986393694,0.007287925526917887
1776792.748056834,-1.91,-2.07,14.67,0.0,-1.91,-2.07,14.67,0.06818601520266386,0.05801767913857494,0.0037848146980921137,0.007297483995453069
1776792.74818578,-2.18,3.26,16.09,0.0,-2.18,3.26,16.09,0.06790491335559637,0.05843804245116204,0.0037935707515642306,0.0073050193356695966
1776792.74828906,2.03,0.34,5.09,0.0,2.03,0.34,5.09,0.06811457212315873,0.05847315771272421,0.0038006056369062893,0.00731105845398562
